Produkt,Marke
Schweinenacken/-kamm XXL ohne Knochen,K-PURLAND
Schweinefilet am Stück,K-PURLAND
Beef Brisket,K-PURLAND
Entrecôte,K-PURLAND
Burgunder-Braten,K-PURLAND
Rinderschmorbraten aus der Keule vom Jungbullen,K-PURLAND
Rinderhackfleisch,K-PURLAND
Roastbeef vom Jungbullen,K-PURLAND
Hähnchen-Unterschenkel XXL,K-PURLAND
Hähnchen-Minutenschnitzel,K-PURLAND
Puten-Hackfleisch,K-PURLAND
Frische poln. Hafermastgans,
Hirschrollbraten,METZGERLAND
Münchner Weißwürste,ZIMMERMANN
Mühlen-Schinken,RÜGENWALDER MÜHLE
Fränk. Kellerplatte,BÖHNLEIN
Rohschinken-Würfel,K-CLASSIC
Sonntagsaufschnitt,WIESBAUER
Kabanossi,SNACK IT
Frischwurst-Aufschnitt,Aus eigener Herstellung
Gelbwurst,BÖHNLEIN
Delikatess-Fleischkäse,Aus eigener Herstellung
Adventsschinken,ZIMMERMANN
Jamón Serrano,
Gewürz- oder Knoblauchschinken,KLÜMPER
Sportler-Salami,SCHULTE
Rotbarschfilet,K-BLUE BAY
Heringsfilets,
Seelachsfilet,
Thunfischfilet,
Dorade Royal,
Smoky-Rauchmatjesfilet,
Activia,DANONE
Froop,MÜLLER
Pudding,LANDLIEBE
Puddingdessert,KIDSWORLD
Mousse,NESTLÉ
Choco fresh oder Paradiso,KINDER
Dessert,EHRMANN
Haltbare Berg- & Alpenmilch,BERCHTESGADENER LAND
Not M*LK,ALPRO
Weich- oder Schnittkäse,SAINT ALBRAY oder ST. AGUR
Feta g. U.,GRECO
Back-Camembert,ALPENHAIN
Raclette Classic,EMMI
Cheddar,KERRYGOLD
Reibekäse oder vegane Raspel,MILRAM
Brotaufstrich,BRUNCH
Frisch & Pur,GÉRAMONT
Bratcreme,RAMA
Gouda mild,LANDANA
Appenzeller Extra-Würzig,SWITZERLAND
Schweizer Emmentaler AOP,
Parmigiano Reggiano DOP,
Frozen Dessert,FRIENDS OF ASIA
Poln. Gänsebrust,
Die Ofenfrische oder Pizza Tradizionale,DR. OETKER
Rustipani Ofenbrot oder Airfryer Snack,ORIGINAL WAGNER
Neuseel. Lammkeule,WEIDA
Ganzes Kaninchen,BREFOOD
Teigwaren,BÜRGER
Qualitätskloßteig,SCHMITT'S
Wirsing,BÖHNLEIN
Demeter Gemüsekonserven,CAMPO VERDE
Bratheringe,APPEL
Party-Gurken,K-CLASSIC
Bayerischer Senf,HÄNDLMAIER
Grillsauce,KÜHNE
Balsamico Creme Classic,GIUSEPPE CREMONINI
Rapsöl,K-CLASSIC
Griech. Olivenöl,DELOS
Grüne Peperoni,
Weinblätter,
Pizzaschnecke mit Pilzen,
Wienerle-Croissant,
Buttercroissant,
Spekulatius-Berliner,
Laugenbaguette,
Krustenbrot,
Chia-Skyr-Brötchen,
Rosenbrötchen,
1688 Steinofenbrot,HARRY
Tasty Snacks,WASA
Der Markenzwieback,BRANDT
Toast,HARRY
»Stranger Things« Demo Cakes,KUCHENMEISTER
Tender,MILKA
Baumkuchen,LAMBERTZ
Zimtstollen,KUCHENMEISTER
Instant-Nudeln,REEVA
Sauce Hollandaise,THOMY
Backerbsen,GUTHAUS
Al Bronzo Pasta,BARILLA
Frischeier-Nudeln,GAGGLI
Kartoffelgericht,PFANNI
Blütenhonig,K-CLASSIC
Goldsaft Zuckerrübensirup,GRAFSCHAFTER
Cerealien Maxi-Pack,NESTLÉ
Feinster Backzucker,SÜDZUCKER
Haushaltsmehl,FRIESSINGER MÜHLE
Grießbrei oder Milchreis,RUF
Crunchy,NATURE VALLEY
Home Barista Caffè Crema Dolce,DALLMAYR
Getränkepulver,KABA
Heilkräutertee,BAD HEILBRUNNER
Kartoffelchips,ROB'S CHIPS
Donuts,FUNNY-FRISCH
Flips,K-CLASSIC
Snacks XXL,GUSTO
Goldfischli,FUNNY-FRISCH
Schokolade,MILKA
Haselnuss in Caramel,TOFFIFEE
MILKY WAY oder TWIX Minis,"SNICKERS, MARS, BOUNTY,"
Riegel,KINDER
Bueno,KINDER
Weihnachtsmischbeutel,K-WINTER EDIION
Schoko-Lolli,K-WINTER EDITION
»Burggraf« Lebkuchen,WICKLEIN
Schokoladenkränze,K-WINTER EDITION
Edel-Nougat-Zapfen,K-WINTER EDITION
Milchcreme-Zapfen,K-WINTER EDITION
Schokoladen-Kugeln,MILKA
Mix Weihnachts-Minis,KINDER
Alkohol-Spezialitäten- Fläschchen,LINDT
Sockenstiefel,WINDEL
Mix Bunte Mischung,KINDER
Mini-Eggs,KINDER
Snowballs,MILKA
Weihnachtsnüsse,LINDT
Frohe Weihnachten,HARIBO
Fidelis Lebkuchen,WEISS
Doppelkekse,OREO
"Coco-Fleur, Balena oder Divina",LAMBERTZ
B-Ready,NUTELLA
Cola-Mix,FLUMI
Erfrischungsgetränk,AFRI COLA
Sanbittèr,SANPELLEGRINO
Mineralwasser,BASINUS
Super Shots,HOHES C
Sanfte Säfte,AMECKE
Liköre,KOBER'S
Aperitivo,APEROL
Streitberger Bitter,HERTLEINS
Craft Rum Flavour Spirit,BUMBU
Whiskey oder Whiskey-Likör,JIM BEAM
Theo,EVERMANN
The Original 12 Single Malt Scotch Whisky,GLENMORANGIE
Primitivo »14« DOC,CONTESSA MARINA
Trollinger,WZG MÖGLINGEN
Franz. Wein,GRAND SUD
Domina Donnersdorfer Zabelstein,ERICH BARTH
Bacchus Altmannsdorfer Sonnenwinkel,ERICH BARTH
Die jungen Frank'n Qualitätswein,GWF
Span. Schaumwein,FREIXENET
Piccolo-Sekt,ROTKÄPPCHEN
Premium-Weißbier,FRANZISKANER
Kellerbier oder Naturradler,MÖNCHSHOF
Extra,CORONA
Original,DESPERADOS
Pilsener,VELTINS
Münchner Hell,SPATEN
Premium Pilsener,WARSTEINER
Brotzeitseidla,GÖLLER
Altfränkisches Lagerbier oder Pilsener,ADLER BRÄU
Weichspüler,VERNEL
Slipeinlagen Big-Pack,ALWAYS
Tampons,O.B.
Allzweckreiniger,MEISTER PROPER
Kalkreiniger,ANTIKAL
Lufterfrischer-Duos,FEBREZE
"Spülmittel, -Lotion oder -Gel",FROSCH
Spülmaschinen-Tabs oder -Caps,FINISH
Bio-Frucht-Snack,FRECHE FREUNDE
Windeln oder Pants Maxi-Pack,PAMPERS
Shampoo oder Spülung,NIVEA
Excellence Creme,L'ORÉAL PARIS
Mundspülung,LISTERINE
Zahnpasta-Doppelpack,"ARONAL, ELMEX oder MERIDOL"
Haftcreme Extra Stark,BLEND-A-DENT
Duschgel,ORIGINAL SOURCE
"Kids 3in1 Duschgel, Shampoo & Spülung",NIVEA
Creme- oder Pflegedusche,NIVEA
Milde Seife Avocado,CD
Hair & Body Shampoo,JOHN PLAYER SPECIAL
No Touch Nachfüller,SAGROTAN
2in1 Shampoo und Duschgel,
Geschenkset Ice Dive oder UEFA 12,ADIDAS
Geschenkset,NAOMI CAMPBELL
Katzenfutter,WHISKAS oder SHEBA
Katzennahrung,PURINA ONE
Erdnuss-Stangen,VOGELPICK
Meisen-Knödel,VOGELPICK
Sonnenblumenkerne,VOGELPICK
Streufutter,VOGELPICK
Erdnusskerne,VOGELPICK
Fettfutter,VOGELPICK
Vogelfutter-Set,VOGELPICK
XL-Sandwich-Toaster »ASM90XLCO«,BESTRON
Beutelloser Akku-Stielsauger »Air Force Light RH6545«,ROWENTA
Heißluftfritteuse »FR-9008KL«,TRISTAR
Fenstersauger »Dry & Clean«,LEIFHEIT
Wasserkocher »AWK1000CO«,BESTRON
Toaster »ATS1000CO«,BESTRON
Thermo-Kaffeemaschine »ACM1000CO«,BESTRON
Eierkocher »AEC2000CO«,BESTRON
Handmixer »AHM1000CO«,BESTRON
Mikrowelle mit Grill »SOMW 800 F2«,SWITCH ON®
HOT WHEELS »Skate Fingerboard gold«,MATTEL
Fahrzeug »Matchbox«,MATTEL
Magic Truck,WADER
RC-Fußball-Set »Bundesliga«,CARRERA
Barbie-Puppe »Meerjungfrau«,MATTEL
»BFF Beadys Mega Box« Perlen-Set,CRAZE
HOT WHEELS »Fast & Furious«,MATTEL
Pets Alive Smitten Kitten,ZURU
Barbie-Puppe »Fee«,MATTEL
Snackles »Kaufland«,ZURU
HOT WHEELS Luxus-Auto,MATTEL
HOT WHEELS Fahrzeug,MATTEL
Matchbox Skybusters,MATTEL
Puppe »Sparkle Girlz«,ZURU
Makiki-Schlüsselanhänger,
Click-Play-Go-Bauplatten-Set in Straßenoptik,KIDLAND®
Click-Play-Go-Bauplatten-Set bunt,KIDLAND®
HOT WHEELS Rennwagen »F1 Edition Max Verstappen«,MATTEL
HOT WHEELS »Sprung durch die Spirale«,MATTEL
Play-Doh Super-Farben-Kiste,HASBRO
Play-Doh Starters Knetmatte »Fold 'n Go«,HASBRO
Messer-Set »ORIGEN«,BERGNER
Besteck-Set »ORIGEN«,BERGNER
Schneidebrett »ORIGEN«,BERGNER
Bratenform mit Deckel »Easy Oven«,CHG
Kochtopf »ORIGEN« Ø 20 cm,BERGNER
Kochtopf »ORIGEN« Ø 28 cm,BERGNER
Bratpfanne »ORIGEN« Ø 16 cm,BERGNER
Brat- und Backform »Easy Oven«,CHG
Bratpfanne »ORIGEN« Ø 20 cm,BERGNER
Bratpfanne »ORIGEN« Ø 24 cm,BERGNER
Bratpfanne »ORIGEN« Ø 28 cm,BERGNER
Grillpfanne »ORIGEN«,BERGNER
Wokpfanne »ORIGEN« Ø 28 cm,BERGNER
Crêpespfanne »ORIGEN«,BERGNER
Kochtopf »ORIGEN« Ø 24 cm,BERGNER
Staubmagnet-Starter-Set,SWIFFER
Starter-Set,SWIFFER
Fensterwischer »Cleaner L micro duo«,LEIFHEIT
Ersatzpad für »W&F Cleaner L micro duo«,LEIFHEIT
Bodenreinigungstücher feucht,SWIFFER
Bodentücher mit Duft,SWIFFER
Staubmagnet-Tücher mit Duft,SWIFFER
LED-Lichterkette mit 50 LEDs,LIV&BO®
LED-Lichterkette mit 100 LEDs,LIV&BO®
Weihnachtsbaumkugeln,LIV&BO®
LED-Lichterkette mit 120 LEDs,LIV&BO®
Weihnachtsbaumschmuck,LIV&BO®
LED-Weihnachtsbaumkerzen kabellos,LIV&BO®
Weihnachtsbaumständer,LIV&BO®
LED-Lichterkette mit 200 LEDs,LIV&BO®
LED-Galaxielichterkette mit warmweißen 1.000 LEDs,LIV&BO®
LED-Lichterkette mit 1.000 warmweißen LEDs,LIV&BO®
LED-Laterne mit Schneekugel,LIV&BO®
Bodenwirbel »Dicke Brummer XXL«,WECO
Brilliant-Wunderkerz »CARAT«,WECO
»Wizzlers« Handfontänen,COMET
Große Knallerbsen »Fun Snaps«,COMET
Jugendfeuerwerk »Fire Kids XL«,COMET
Damen-Pyjama,OYANDA®
Damen-Feinstrickkleid,OYANDA®
Damen-Weihnachtspullover,OYANDA®
Damen-Sweathose,OYANDA®
Damen-Sweathoodie,OYANDA®
Damen-Socken,OYANDA®
Damen-Hausschuhe,OYANDA®
Herren-Pyjama,TOWNLAND®
Herren-Boxer,TOWNLAND®
Herren-Sweathose,TOWNLAND®
Herren-Sweathoodie,TOWNLAND®
Herren-Weihnachtspullover,TOWNLAND®
Weihnachtsstrickpullover »Kaufland«,
Weihnachtssweatpullover »Kaufland«,
Herren-Socken,TOWNLAND®
Herren-Hausschuhe,TOWNLAND®
Kinder-Pyjama,HIP&HOPPS®
Kinder-Thermoleggings,HIP&HOPPS®
Weihnachtsstrickpullover für Kinder »Kaufland«,
Weihnachtssweatpullover für Kinder »Kaufland«,
Kinder-Strickmütze,HIP&HOPPS®
Kinder-Thermosocken,HIP&HOPPS®
Kinder-Thermosocken mit ABS,KUNIBOO®
Feinbiber-Bettwäsche-Set ca. 135 x 200 cm,LIV&BO®
Feinbiber-Bettwäsche-Set ca. 155 x 220 cm,LIV&BO®
Papierstern,
Deko-Aufsteller Tanne auf Baumstamm,
Weihnachtsmütze,
Dekomatte »Stern«,
Geschenktasche,
Gebäckteller,
Gebäckdose,
Metalldose,
Deko-Stern XL,
Christbaumkugeln,
HOT WHEELS Monster Truck »Bone Shaker«,MATTEL
HOT WHEELS Monster Truck,MATTEL
Butterschinken,LANGEWIESCHE
Geschnetzeltes Gyros Art XXL,K-PURLAND
Quarkbällchen,
"Ital. Tafeläpfel, rot",
Span. Staudensellerie,
Hähnchen- oder Putenbrust,GUTFRIED
Reine Buttermilch,MÜLLER
Actimel Drink XXL,DANONE
Sauermilchkäse weniger als 1 % Fett,K-CLASSIC
Thunfisch,DEUTSCHE SEE
Mayonnaise,K-CLASSIC
Haferflocken,K-CLASSIC
Kaffeekapseln,STARBUCKS
KITKAT Weihnachtsmann,"AFTER EIGHT, SMARTIES oder"
Fruchtgummi-Minis Portionspackungen,HARIBO
Spezi oder Limo,PAULANER
S.PELLEGRINO Mineralwasser,ACQUA PANNA oder
Reiche Ernte,ECHTER NORDHÄUSER
Vodka,ABSOLUT
Sekt,MM EXTRA
Premium Lager Beer,CARLSBERG
Reinigungsgel,WC FRISCH
Waffeln Mignon oder Herzen,MANNER
Niederl./belg. Tafelbirnen,
